;;;;;
Historico Aportes Diario 2015;;;;;
;;;;;
Fecha;Region Hidrologica;Nombre Rio;Aportes Caudal m3/s;Aportes Energia kWh;Aportes %
2015-01-01;ANTIOQUIA;A. SAN LORENZO;19,39;4.431.100,00;79,70%
2015-01-01;ANTIOQUIA;CONCEPCION;4,64;1.266.200,00;90,44%
2015-01-01;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);6,10;1.666.400,00;76,09%
2015-01-01;ANTIOQUIA;DESV. MANSO;0,00;;
2015-01-01;ANTIOQUIA;GRANDE;14,79;4.638.900,00;63,20%
2015-01-01;ANTIOQUIA;GUADALUPE;11,78;3.217.500,00;84,67%
2015-01-01;ANTIOQUIA;GUATAPE;28,30;4.780.700,00;116,89%
2015-01-01;ANTIOQUIA;MIEL I;101,61;4.899.900,00;118,07%
2015-01-01;ANTIOQUIA;NARE;15,45;5.458.500,00;42,15%
2015-01-01;ANTIOQUIA;PORCE II;65,70;8.363.200,00;116,80%
2015-01-01;ANTIOQUIA;PORCE III;5,65;416.900,00;27,79%
2015-01-01;ANTIOQUIA;SAN CARLOS;21,07;2.769.600,00;118,87%
2015-01-01;ANTIOQUIA;TENCHE;2,43;662.500,00;90,75%
2015-01-01;CARIBE;SINU URRA;113,62;1.209.100,00;67,17%
2015-01-01;CENTRO;AMOYA;5,66;661.500,00;41,60%
2015-01-01;CENTRO;BOGOTA N.R.;0,00;;
2015-01-01;CENTRO;MAGDALENA BETANIA;186,90;2.797.700,00;65,67%
2015-01-01;CENTRO;PRADO;10,58;124.400,00;22,62%
2015-01-01;CENTRO;SOGAMOSO;135,17;4.232.500,00;66,13%
2015-01-01;ORIENTE;BATA;15,83;2.663.600,00;100,51%
2015-01-01;ORIENTE;CHUZA;2,16;859.100,00;76,71%
2015-01-01;ORIENTE;GUAVIO;17,04;3.984.000,00;94,41%
2015-01-01;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.252.200,00;69,51%
2015-01-01;VALLE;ALTOANCHICAYA;18,25;1.943.000,00;42,52%
2015-01-01;VALLE;CALIMA;4,66;209.500,00;41,90%
2015-01-01;VALLE;CAUCA SALVAJINA;100,99;2.393.900,00;61,07%
2015-01-01;VALLE;DIGUA;14,10;180.100,00;54,58%
